Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.09,-.16,-.10,-.21,-.18,-.09,-.14,-.23,-.21,-.17,-.17,***,***,-.12,-.16,-.19
1881,-.19,-.14,.04,.05,.07,-.18,.01,-.03,-.15,-.22,-.18,-.07,-.08,-.09,-.17,.05,-.07,-.18
1882,.16,.14,.05,-.16,-.13,-.22,-.16,-.07,-.14,-.23,-.17,-.36,-.11,-.08,.08,-.08,-.15,-.18
1883,-.29,-.37,-.12,-.19,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11,-.18,-.20,-.34,-.16,-.09,-.19
1884,-.13,-.08,-.37,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.33,-.31,-.28,-.27,-.11,-.37,-.31,-.28
1885,-.58,-.33,-.26,-.42,-.45,-.44,-.34,-.31,-.29,-.24,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.28,-.27,-.26,-.32,-.30,-.35,-.32,-.28,-.26
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.26,-.33,-.36,-.36,-.52,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.11,-.16,-.12,.01,.03,-.04,-.17,-.20,-.35,-.28,-.15,-.03
1889,-.09,.16,.06,.09,-.01,-.10,-.08,-.20,-.24,-.25,-.34,-.29,-.11,-.09,.01,.05,-.13,-.28
1890,-.42,-.45,-.40,-.30,-.39,-.25,-.28,-.39,-.37,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.31,-.35
1891,-.34,-.47,-.18,-.28,-.16,-.21,-.18,-.18,-.16,-.22,-.31,-.05,-.23,-.25,-.37,-.21,-.19,-.23
1892,-.30,-.11,-.41,-.34,-.24,-.22,-.32,-.27,-.17,-.14,-.42,-.38,-.28,-.25,-.15,-.33,-.27,-.24
1893,-.81,-.57,-.22,-.27,-.33,-.25,-.14,-.25,-.22,-.19,-.19,-.34,-.32,-.32,-.59,-.28,-.21,-.20
1894,-.53,-.31,-.24,-.46,-.32,-.41,-.25,-.25,-.29,-.24,-.27,-.23,-.32,-.33,-.40,-.34,-.31,-.27
1895,-.43,-.43,-.34,-.23,-.28,-.22,-.18,-.18,-.12,-.11,-.17,-.14,-.24,-.24,-.36,-.28,-.19,-.13
1896,-.22,-.13,-.26,-.30,-.16,-.11,-.02,-.05,-.07,.06,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.17,-.14,-.02,-.01,-.12,-.03,-.09,-.09,-.13,-.18,-.20,-.11,-.10,-.12,-.06,-.08,-.13
1898,-.02,-.30,-.51,-.31,-.30,-.19,-.22,-.27,-.22,-.34,-.39,-.24,-.28,-.27,-.17,-.37,-.23,-.32
1899,-.17,-.39,-.37,-.21,-.24,-.32,-.17,-.09,-.05,-.04,.12,-.27,-.18,-.18,-.26,-.27,-.19,.01
1900,-.36,-.06,.00,-.09,-.09,-.10,-.13,-.09,-.06,.09,-.07,-.07,-.09,-.10,-.23,-.06,-.11,-.01
1901,-.22,-.11,.05,-.04,-.16,-.12,-.15,-.21,-.23,-.30,-.18,-.28,-.16,-.14,-.13,-.05,-.16,-.24
1902,-.18,-.07,-.28,-.28,-.32,-.30,-.28,-.30,-.29,-.29,-.35,-.41,-.28,-.27,-.18,-.30,-.29,-.31
1903,-.23,-.06,-.22,-.41,-.39,-.42,-.35,-.45,-.50,-.48,-.42,-.51,-.37,-.36,-.23,-.34,-.41,-.47
1904,-.64,-.58,-.48,-.51,-.52,-.49,-.52,-.50,-.56,-.39,-.18,-.33,-.47,-.49,-.57,-.50,-.50,-.38
1905,-.35,-.60,-.22,-.34,-.30,-.29,-.27,-.21,-.19,-.25,-.07,-.13,-.27,-.28,-.43,-.29,-.25,-.17
1906,-.28,-.30,-.19,-.05,-.26,-.20,-.23,-.20,-.29,-.20,-.38,-.15,-.23,-.23,-.24,-.17,-.21,-.29
1907,-.43,-.52,-.28,-.37,-.47,-.42,-.35,-.35,-.35,-.23,-.47,-.47,-.39,-.37,-.37,-.37,-.37,-.35
1908,-.45,-.33,-.56,-.45,-.38,-.39,-.36,-.47,-.36,-.44,-.52,-.49,-.43,-.43,-.42,-.46,-.40,-.44
1909,-.73,-.47,-.55,-.59,-.55,-.52,-.45,-.34,-.39,-.40,-.32,-.57,-.49,-.48,-.56,-.56,-.44,-.37
1910,-.42,-.41,-.51,-.43,-.34,-.39,-.35,-.37,-.39,-.41,-.55,-.67,-.44,-.43,-.47,-.43,-.37,-.45
1911,-.63,-.58,-.62,-.54,-.52,-.51,-.42,-.45,-.42,-.27,-.22,-.22,-.45,-.49,-.63,-.56,-.46,-.30
1912,-.27,-.16,-.39,-.19,-.21,-.25,-.43,-.55,-.59,-.58,-.40,-.44,-.37,-.35,-.22,-.26,-.41,-.52
1913,-.41,-.47,-.44,-.41,-.44,-.46,-.37,-.34,-.35,-.33,-.21,-.03,-.35,-.39,-.44,-.43,-.39,-.30
1914,.03,-.11,-.25,-.31,-.22,-.26,-.25,-.17,-.18,-.04,-.16,-.05,-.16,-.16,-.04,-.26,-.23,-.13
1915,-.21,-.04,-.10,.06,-.07,-.23,-.13,-.23,-.21,-.25,-.13,-.23,-.15,-.13,-.10,-.04,-.20,-.20
1916,-.13,-.15,-.29,-.31,-.35,-.50,-.37,-.29,-.37,-.33,-.47,-.82,-.36,-.31,-.17,-.31,-.39,-.39
1917,-.58,-.64,-.64,-.55,-.55,-.44,-.26,-.23,-.23,-.45,-.34,-.68,-.47,-.48,-.68,-.58,-.31,-.34
1918,-.49,-.35,-.26,-.45,-.43,-.37,-.32,-.32,-.18,-.06,-.12,-.29,-.30,-.34,-.51,-.38,-.34,-.12
1919,-.21,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.25,-.20,-.33,-.29
1920,-.24,-.27,-.12,-.24,-.27,-.36,-.30,-.26,-.21,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.31,-.24
1921,-.04,-.17,-.22,-.29,-.30,-.26,-.14,-.25,-.18,-.03,-.14,-.18,-.18,-.21,-.22,-.27,-.22,-.12
